No,Name,Adress,Phone,Fax,Email,Website,Executive Contact,Classifications,Company Profile
1,3 + 3 Pte Ltd,"33 , Jalan Usaha Singapore Singapore 537173 537173",98551748,N/A,3pluss3pteltd@gmail.com,Https://3pluss3.com,,"Advisory Services,Bookkeeping: GST Audit,Corporate Secretarial & Management Services,Bookkeeping,Restructuring,Cash Flow Forecasting,Financial Restructuring,Cashflow & Working Capital Management,Planning & Budgeting,Financial Controls for SMEs,Financial & Business Assessment for Growth,Merger and Acquisition,Company_Incorporation,Corporate Governance,Budgeting,Business Formation/Start-Up,Business Coaching,Business Plans,Corporate Secretariat Services,Set up Management Information Systems, Financial Management and Control Systems, etc,Financial and Accounting Processes,Filing Tax Returns,GST","3 + 3 provide Accounting and Financial Services, setting up companies, corporate secretarial services , career and wellness coaching. With vast experiences in the field of professional accounting and finance advisory, 3+3 key partner is a qualified CPA with extensive experiences to help startups of companies. 3 + 3 passionate desire is essentially to value add and make the difference to heighten customers' experiences."
2,361 DEGREE MANAGEMENT PTE LTD,"10 , Ubi Crescent Ubi Techpark Ubi Techpark #04-99 #04-99 Singapore Singapore 408564 408564",N/A,+65 6515 7908,enquiry@361dc.com,www.361dc.com,MR PHILLIP TEO,"Advisory Services,Tax Planning",
3,3E ACCOUNTING PTE. LTD.,"51 , Goldhill Plaza #07-10/11 #07-10/11 Singapore Singapore 308900 308900",N/A,+65 6354 3261,info@3ecpa.com.sg,www.3ecpa.com.sg,MR LAWRENCE CHAI,"Bookkeeping,Filing Tax Returns,GST","3E Accounting Pte. Ltd. is a Singapore-based firm that provides professional incorporation, accounting, tax, immigration and compliance services for start-ups and small to medium-sized firms. Our team at 3E Accounting consists of highly experienced professionals with extensive experience in Singapore financial, tax, corporate, and regulatory milieu, all sharing the common goal of achieving excellence in all of our professional services. To ensure that you benefit from the highest-quality of service, your 3E engagement team members are selected based on their industry expertise, experience and knowledge of pertinent business activities. Our engagement teams consistently provide you with the significant added-value you deserve. – That’s why 3E has one of the highest rates of repeat business in the industry. Being the leader in cost-effective professional solutions, you are assured of results that will exceed your expectations at a reasonable price. Our head office is conveniently located in Novena – the central area of Singapore’s Island."
4,A K KOH & ASSOCIATES,"336 , Smith Street New Bridge Centre New Bridge Centre #05-311 #05-311 Singapore Singapore 050336 050336",N/A,+65 6441 9173,akk.associates@yahoo.com.sg,www.hbiz.com.sg/ckzgroup,KOH AIK KUAN,"Statutory/ External Audit,Internal Audit,Bookkeeping,Financial and Accounting Processes,Due Diligence,Corporate Governance,Budgeting,Filing Tax Returns,GST",
5,A S H LOONG & CO,"101 , Cecil St Tong Eng Building Tong Eng Building #16-05 #16-05 Singapore Singapore 069533 069533",+65 6224 2487,+65 6224 5924,chartac@ashloong.com,N/A,"MISS LOONG LI YEN, MICHELLE","Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Bookkeeping,Business Formation/Start-Up,Filing Tax Returns",
6,A. C. LUI & CO.,"896 , Dunearn Road Sime Darby Centre Sime Darby Centre #04-02A #04-02A Singapore Singapore 589472 589472",N/A,+65 6466 9098,N/A,N/A,LUI AH CHONG,"Statutory/ External Audit,Internal Audit,Business Formation/Start-Up,Business Plans,IE Singapore Schemes,IDA Schemes,Bookkeeping,Corporate Secretariat Services,Filing Tax Returns,GST",
7,A. GUAN & CO.,"250 , Tanjong Pagar Rd #05-01 #05-01 Singapore Singapore 088541 088541",+65 6225 5101,N/A,N/A,N/A,MS GUAN ANNIE,Statutory/ External Audit,
8,A. L. LEE & CO,"151 , Chin Swee Rd Manhattan House Manhattan House #13-01 #13-01 Singapore Singapore 169876 169876",N/A,N/A,sg@alleeco.com,N/A,MR LEE AH LEK,Statutory/ External Audit,
9,A. S. MOHAMED & CO,"200 , Jalan Sultan Textile Centre Textile Centre #11-06 #11-06 Singapore Singapore 199018 199018",+65 6333 4295,+65 6837 3653,asmohamed@asmohamed.com.sg,N/A,MR MOHAMED ZAFRULLAH BIN AHAMED SHA,"Internal Audit,Advisory Services,Corporate Secretariat Services,Business Formation/Start-Up,Business Coaching","The firm, A. S. Mohamed & Co. has been established more than a decade ago. The proprietor, Mr. Mohamed, graduated from the National University of Singapore and had been in the accounting/audit line for the past 31 years. With his vast experience and knowledge and a very strong team well trained/qualified supporting him, the firm's vision is to be proactive in servicing all its clients with full dedication/commitment. The firm envisages growing with the clients. The firm services individuals, sole proprietorship and partnership firms and private limited companies."
10,A.H. LOW & CO,"165 , Bukit Merah Central #05-3679 #05-3679 Singapore Singapore 150165 150165",+65 6273 3882,+65 6271 7112,ahlow2002@yahoo.com,N/A,MR LOW AIK HAR,"Statutory/ External Audit,Corporate Secretariat Services,Bookkeeping",
11,ABACUS ASSOCIATES,"3 , Shenton Way Shenton House Shenton House #14-05 #14-05 Singapore Singapore 068805 068805",+65 6221 5600,+65 6221 5600,corporate@bybridgesg.com,www.bybridgesg.com,MR LUKE XUE,"Advisory Services,Corporate Secretariat Services,Buying and Selling Businesses",
12,ABERDEEN CONSULTING PTE LTD,"10 , Hoe Chiang Road Keppel Towers Keppel Towers #06-02 #06-02 Singapore Singapore 089315 089315",N/A,+65 6534 2550,N/A,www.aberdeenconsulting.com,KENNETH LEE,"Bookkeeping,Corporate Recovery,Receivership,Company Listing,Corporate Secretariat Services,IE Singapore Schemes,Financial and Accounting Processes,HR Processes,Filing Tax Returns,GST,Budgeting,Business Formation/Start-Up,Business Plans,Buying and Selling Businesses,Capital Investment,Financial Investigation,Litigation Assistance,Payroll & HR Administration Services,Enterprise Risk Management,Financial Risk Management,Due Diligence",
13,ACCASSURANCE LLP,"163A , Telok Ayer Street Singapore Singapore 068616 068616",+65 6223 8380,+65 6220 3880,gohqimei@accvisory.com,www.accassurance.com.sg,MS GOH QI MEI,"Statutory/ External Audit,Charity Audit,Budgeting,Business Valuation,Financial Investigation,Litigation Assistance,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes,Due Diligence,Bookkeeping,Business Formation/Start-Up,Corporate Secretariat Services,IE Singapore Schemes,IDA Schemes,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST",
14,ACCFIN CORPORATE CONSULTANTS PTE LTD,"7 , Keppel Road PSA Tanjong Pagar Complex PSA Tanjong Pagar Complex #02-24 #02-24 Singapore Singapore 089053 089053",+65 6220 2293,+65 6227 2339,info@accfin.com.sg,www.accfin.com.sg,JIMMY LIU,"Statutory/ External Audit,Budgeting,Business Formation/Start-Up,Business Plans,Corporate Secretariat Services,Payroll & HR Administration Services,Others,Filing Tax Returns,GST,Bookkeeping,Restructuring,Business Valuation,Buying and Selling Businesses,Productivity & Innovation Credit (PIC),Financial and Accounting Processes",
15,ACCMASTER MANAGEMENT SERVICES PTE LTD,"10 , Ubi Crescent Ubi Techpark Lobby B Ubi Techpark Lobby B #06-18 #06-18 Singapore Singapore 408564 408564",N/A,+65 6749 9370,enquiry@accmaster.com.sg,N/A,MS VENUS TAM,"Bookkeeping,Corporate Secretariat Services,Business Formation/Start-Up,Business Coaching,Payroll & HR Administration Services,Others",
16,ACCMASTER VERITAS PTE LTD,"10 , Ubi Crescent Ubi Techpark Lobby B Ubi Techpark Lobby B #06-18 #06-18 Singapore Singapore 408564 408564",N/A,+65 6749 9370,enquiry@accmaster.com.sg,N/A,MR MICHAEL CHNG,"Bookkeeping,Set up Management Information Systems, Financial Management and Control Systems, etc,Others,Payroll & HR Administration Services,Others",
