No,Name,UEN,Short Intro,Date incorporated,Sector,Funding Stage,Employee range,Tags,Description,Address,Website,Emails,Phone,Team,Funding Stage,Total Funding,Funding Rounds,Rounding Raised
1,(THESE)ABILITIES PTE. LTD.,UEN 201524628D,Provider of products for people with disabilities,30 May 2015,Manufacturing & Engineering,Pre-seed,1 - 10 employees,,"(these)abilities is a design & technology company that aims to ""Disable Disabilities"" by designing & building products that level the playing field for Persons with Disabilities (PwDs) at work, at home and during play.Their products are designed together with PwDs using high and low tech, design thinking as well as community engagement and are usable for both PwDs and non-PwDs.","1 Tampines St 73, #-, Singapore 528704",http://www.theseabilities.com/,hello@theseabilities.com, ,"Ken Chua,Founder",Pre-seed,—,—, 
2,100/100 IT SOLUTION PROVIDER (PTE. LTD.),UEN 201430037G,—,8 October 2014,—,Pre-seed,—,, ,"THONG CHAI BUILDING 50 CHIN SWEE ROAD, #09-04, Singapore 169874", , , , ,Pre-seed,—,—, 
3,12 Geeks,UEN 201316419Z,Community Platform for Developers,18 June 2013,Retail,Pre-seed,—,,"12Geeks is a platform where makers and developers can connect, discover and share projects, get access to tools and knowledge","KING GEORGE'S BUILDING 344 KING GEORGE'S AVENUE, #3-44B, Singapore 208576",https://12geeks.com/community/, , ,"Fazli Mansor,Founder, Chief Technology Officer (CTO)",Pre-seed,—,—, 
4,121 Technology,UEN 201423369C,—,9 August 2014,Infotech,Pre-seed,1 - 10 employees,Infotech, ,"HONG LEONG BUILDING 16 RAFFLES QUAY, #41-07, Singapore 048581",http://www.121tech.sg/,help@121tech.sg,+65 98508265, ,Pre-seed,—,—, 
5,13 LITTLE PICTURES LLP,UEN T10LL1888C,Motion Pictures Production,13 November 2010,Media,Pre-seed,—,,"Driven by a love of cinema, 13 Little Pictures is a film collective bound by the spirit of collaboration and shared hope of creating films with unique directorial visions. Based in Singapore, 13 Little Pictures produces and promotes films that celebrate cinema with all its diversities. Making films and friends at the same time, 13 Little Pictures works together in the belief that taking this journey together—challenging, inspiring, helping, and supporting each other—fosters a sense of community in our individual exploration of the possibilities of cinema.To date, 13 Little Pictures has made more than 15 feature and short films that have screened to international audiences in Rotterdam, Berlin, Vancouver, Tokyo, Bueno Aires, and more.","LAGOON VIEW 5000M MARINE PARADE ROAD, #13-56, Singapore 449294",https://13littlepictures.wordpress.com/,13littlepictures@gmail.com, ,"Sherman Ong,Founder",Pre-seed,—,—, 
6,1CARE GLOBAL,UEN 201017400N,IT Equipments Protection Care,17 August 2010,Others,Pre-seed,11 - 50 employees,,"1CARE Global provides a comprehensive range of products and services for consumers and enterprises seeking secured additional protection and coverage for their IT equipment and valuable assets. Our core areas of specializations are in damage assessment, warranty claim management, break fixes as well as providing call centre solution services that cater across 13 countries in the Asia Pacific region.","CT HUB 2 KALLANG AVENUE, #05-12, Singapore 339407",http://www.1careglobal.com/,customercare@1care-global.com, , ,Pre-seed,—,—, 
7,1CONNEX,UEN 201311420M,subscription-based apps,29 April 2013,—,Pre-seed,—,,"1connex offers Grabz, a subscription-based service allowing users to experience insider rewards and privileges from a wide range of merchants including spas, F&B outlets and travel experiences.The app utilises its inbuilt Geo-fencing technology to notify users about the hottest insider privileges around them through location-based alerts. Subscribers also get to enjoy exclusive promotions and luxury features like discounted business class flight tickets and ‘members only’ prices on limited edition luxury watches.","HENGDA BUILDING 137 CECIL STREET, #11-01, Singapore 069537",http://www.Grabz.sg, , , ,Pre-seed,—,—, 
8,1degreenorth Pte Ltd,UEN 200918881H,"AI, Analytics & Big Data",8 October 2009,Infocomm Tech,Pre-seed,—,,"1degreenorth deals with AI, analytics, big data and high performance computing for companies","INTERNATIONAL PLAZA 10 ANSON ROAD, #10-11, Singapore 079903",https://www.1degreenorth.com/,venture@1degreenorth.com,+65 67730113, ,Pre-seed,—,—, 
9,24K DESIGN STUDIO,UEN 200918093G,Website Design and Comprehensive IT Solutions,29 September 2009,Infotech,Pre-seed,11 - 50 employees,,"24K Design Studio Pte Ltd is a Singapore based creative agency specializing in responsive website development and online marketing services. Using the latest technologies, coupled with creativity and proficiency, the agency offers web-based IT solutions including corporate website design, content management system (CMS), eCommerce solution, online facility booking system, web application development, search engine optimization (SEO), search engine marketing (SEM), and digital marketing. Other services cover interactive media design, social media marketing, mobile application development, web hosting, graphic design, eCard design, eBook design, and professional photography. 24K Design Studio Pte Ltd works closely with clients to ensure the content and platforms is an excellent reflective of the brand.","PAYA LEBAR SQUARE 60 PAYA LEBAR ROAD, #12-40, Singapore 409051",https://www.24k.com.sg/,info@24k.com.sg,+65 68440132,"James Cao,Founder, Chief Executive Officer (CEO)",Pre-seed,—,—, 
10,3 LITTLE PIGS PTE. LTD.,UEN 200904609C,—,16 March 2009,—,Pre-seed,—,, ,"MIDVIEW CITY 22 SIN MING LANE, #05-85, Singapore 573969", , , , ,Pre-seed,—,—, 
11,36 TECH SOLUTIONS PTE. LTD.,UEN 201318179E,ECM Solutioning provider,5 July 2013,Infotech,Pre-seed,—,,"36 Tech solutions provide the below services:* ECM Solutioning on 2 platforms - FileNet P8 Suite and Microsoft SharePoint* SI services, specializing in J2EE and ASP .Net* Customized mobile application development on Android* Ad-hoc AIX Support","A'POSH BIZHUB 1 YISHUN INDUSTRIAL STREET 1, #04-27, Singapore 768160",http://www.36techsolutions.com/home.php, , , ,Pre-seed,—,—, 
12,3D PRINTECH,UEN 53311112M,Exclusive Distributor (Geeetech),19 July 2015,Others,Pre-seed,1 - 10 employees,,"3D Tech Printing provides printers, filament and 3D design/printing services to the burgeoning maker community.","446 HOUGANG AVENUE 8, #B1-1635, Singapore 530446",https://www.3d-printech.com/,info@3d-printech.com.sg,+65 66816738, ,Pre-seed,—,—, 
13,3F Asia,UEN 201200270H,Fire fighting solutions provider,3 January 2012,Others,Pre-seed,—,,"3F is incorporated in 2012. The Company led by highly experienced people who have been a driving force in their own area of expertise within the fire protection industry for the last three decades.The 3F team comprises a dedicated team of people focused on the design and manufacture of the highest quality fire fighting products in both chemical and engineering applications.The 3F business concept is simple and has been developed on three fundamental aspects of extinguishing fire safely. Firstly, supplying a foam chemical product range that is all about ensuring the customer has the most appropriate fire fighting chemical for the risk. Secondly, ensuring an engineering solution to deliver the chemical to the fire in the most cost effective, efficient and safe application.  And finally, doing something very different to other fire fighting chemical manufacturers and that is to supply customers with a clean environmental package that will not only deliver significant reductions but in almost all cases eliminate post fire environmental damage caused by foam use.   ","1002 TOA PAYOH INDUSTRIAL PARK, #03-1447, Singapore 319074",http://www.3fff.co.uk/,sales@3fffasia.com;sales@3fff.co.uk,+65 63566040, ,Pre-seed,—,—, 
14,3H RESOURCES PTE. LTD.,UEN 201013511G,Electronic Soldering Solutions,28 June 2010,Manufacturing & Engineering,Pre-seed,1 - 10 employees,,"Electroloy Group is a group of companies that develops, manufactures and supplies soldering solutions to electronic, semi-conductor as well as plating industries. They are  ISO 9001 and 14001 Certified","67 TUAS AVENUE 1, #-, Singapore 639509",https://www.electroloy.com,enquiry_sg@electroloy.com;enquiry_suzhou@electroloy.com,+65 64912663, ,Pre-seed,—,—, 
15,3I Medtech Solutions,UEN 201408317C,—,24 March 2014,Medtech,Pre-seed,—,, ,"30 LOYANG WAY, #05-10, Singapore 508769",http://3i-medtech.com/, , , ,Pre-seed,—,—, 
16,3P Power,UEN 201310078H,Total Integrated Engineering Solution,16 April 2013,Precision Engineering,Pre-seed,1 - 10 employees,,"3P Power Pte Ltd was established in June’ 2013 as a Power Solutions Service Provider Company with subsidiaries in Malaysia and Myanmar, 3P Power (M) Sdn. Bhd. and Ottimo Power Co., Ltd respectively. 3P Power is the affiliation of Regards Engineering Pte Ltd, MPT Solutions Pte Ltd and Regards Engineering Co., Ltd (Myanmar) established in 2011 and founded by the group of Engineers who had well gained the various technical trainings, technical knowledges, managerial knowledges and the various field experiences in different industries while working for the renowned Multi-national Companies.   They provide the TIES (Total Integrated Engineering Solution) for the Mechanical and Electrical Equipment such as Valves, components of Rotating and stationary Machines, Back-up Power Electronic equipment, Gen-set and Control Process of Vertical Market Segments such as OIL/GAS & Petrochemical, Telco & DIT and Power Generation, Transportation & General Industries.","FOCUS ONE 1 UBI VIEW, #04-12, Singapore 408555",http://3ppower.com,enquiry@3ppower.com,"+65 67431006, 66357632", ,Pre-seed,—,—, 
