YiFang Taiwan Fruit Tea,"135-15 40th Rd Flushing, NY 11354",(347)893-8394,http://www.yifangtea.nyc
BÀO Tea House,"140 West 4th St New York, NY 10012",(646)833-7870,http://www.baoteahouse.store
Prince Tea House,"36-39 Prince St Flushing, NY 11354",(917)285-2523,
Bosie Tea Parlor,"10 Morton St New York, NY 10014",(212)352-9900,http://www.bosienyc.com/
Moge Tee,"38-03 Main St Flushing, NY 11354",(718)321-1188,http://www.mogeteeusa.com
Ippodo Tea,"125 E 39th St New York, NY 10016",(212)370-0609,http://www.ippodo-tea.co.jp/shop/ny.html
Tea Drunk,"123 E 7th St New York, NY 10009",(917)573-9936,http://www.tea-drunk.com
Tea Bar,"506 Driggs Ave Brooklyn, NY 11211",(646)361-6839,
Tea Plus Cafe,"3710 31st Ave Astoria, NY 11103",(347)393-6204,http://teapluscafe.com
Té Company,"163 W 10th St New York, NY 10014",,http://www.te-nyc.com
Bibble & Sip,"253 W 51st St New York, NY 10019",(646)649-5116,http://bibbleandsip.com
Prince Tea House,"6122 7th Ave Brooklyn, NY 11220",(929)337-7150,
Loose Leaf,"28-10 23rd Ave Astoria, NY 11105",(718)777-8383,http://shoplooseleaf.com
Prince Tea House,"1521 York Ave New York, NY 10028",(646)476-4255,
T Shop,"247 Elizabeth St New York, NY 10012",,http://tshopny.com
Harney & Sons SoHo,"433 Broome St Ground Fl New York, NY 10013",(212)933-4853,http://www.harney.com
Blank Slate Tea,"121 Madison Ave New York, NY 10016",(646)707-0256,
Debutea,"217 Thompson St New York, NY 10012",(646)767-0147,
Serengeti Teas & Spices,"22 E 125 St New York, NY 10035",(212)837-1057,http://www.serengetiteasandspices.com/
Floating Mountain,"239 W 72nd St Fl 02 New York, NY 10023",(646)852-6555,https://www.floating-mountain.com
Fang Gourmet Tea,"135-25 Roosevelt Ave Flushing, NY 11354",(888)888-0216,http://www.fangtea.com
Tea and Milk,"32-02 34th Ave Astoria, NY 11106",(347)921-2056,http://www.teaandmilk.com
Luv Tea,"37A Bedford St New York, NY 10014",(212)804-7600,https://luv-tea.com
Jinyunfu Tea Shop,"40 W 25th St Ste 224 New York, NY 10010",(646)833-9969,
Physical GraffiTea,"96 St Marks Pl New York, NY 10009",(212)477-7334,http://physicalgraffitea.com/
Radiance Tea House and Books,"158 W 55th St New York, NY 10019",(212)217-0442,http://www.radiancetea.com/
Cha-An,"230 E 9th St Fl 2 New York, NY 10003",(212)228-8030,http://www.chaanteahouse.com
Bellocq Tea Atelier,"104 West St Brooklyn, NY 11222",(347)463-9231,http://www.bellocq.com
Prince Tea House,"31-47 Steinway St Astoria, NY 11103",(929)208-0072,
Chrysanthemum Rare Teas & Flowers,"669 Washington Ave New York, NY 11238",(347)955-5401,http://www.chrysanthemumbrooklyn.com
Alice’s Tea Cup,"102 W 73rd St New York, NY 10023",(212)799-3006,http://www.alicesteacup.com/
Chu Tea,"471 5th Ave Brooklyn, NY 11215",(718)788-1113,http://www.chububbletea.com
Tea Ceremony,"Brooklyn, NY 11217",,
Setsugekka East Village,"74 E 7th St New York, NY 10003",(646)895-9586,https://www.setsugekkaNY.com
Feng Cha,"99 Chrystie St New York, NY 10002",(917)558-2988,http://www.fengchanyc.com
HARBS,"198 9th Ave New York, NY 10011",(646)336-6888,http://www.harbsnyc.com
Puerh Brooklyn,"174 Grand St Williamsburg, NY 11211",(646)238-2623,http://www.puerhbrooklyn.com/
Grace Street,"17 W 32nd St New York, NY 10001",(917)745-2125,http://bygracestreet.com/
Tianti Books,"535 8th Ave New York, NY 10018",(888)842-6845,http://www.tiantibooks.org
Po Toi O x 1314 Tea House,"82-53 Broadway New York, NY 11373",,
Gullah Girl Tea,"Brooklyn, NY 11221",(917)651-5553,http://www.gullahgirltea.com
Mood Tea,"161 Havemeyer St Brooklyn, NY 11211",,
Teadora,"6609 Fort Hamilton Pkwy Brooklyn, NY 11219",(718)238-2828,http://www.teadorausa.com
DAVIDsTEA,"1124 3rd Ave New York, NY 10014",(212)717-1116,http://www.davidstea.com/3rd-avenue
Ten Ren’s Tea Time,"73 Mott St New York, NY 10013",(212)732-7178,http://www.tenrenusa.com/index.php?Itemid=46&task=view&option=com_content&id=26
Mi Tea,"135-29 Roosevelt Ave Flushing, NY 11354",(718)358-9188,
Takahachi Bakery,"25 Murray St New York, NY 10007",(212)791-5550,http://takahachibakery.com
Antidote Apothecary + Tea Bar,"200 Franklin St Brooklyn, NY 11222",(929)276-3905,https://antidotebrooklyn.com
Shiny Tea,"2667 Broadway New York, NY 10025",(212)222-6134,
Ateaz,"116-29 Metropolitan Ave Kew Gardens, NY 11415",(347)494-5391,http://www.ateaz.com
Gong Cha,"75 W 38th St New York, NY 10018",(212)398-2716,http://www.gongchausa.com
McNulty’s Tea & Coffee Co,"109 Christopher St New York, NY 10014",(212)242-5351,http://www.mcnultys.com
The 3rd Floor New York,"359 Manhattan Ave Brooklyn, NY 11211",(347)916-1920,http://www.the3rdfloornewyork.com
Argo Tea,"949 Broadway New York, NY 10010",(646)755-7262,http://www.argotea.com
PaTea,"227 E 14th St New York, NY 10003",(917)862-2691,http://www.pateabubbletea.com
Communitea,"11-18 46th Rd Long Island City, NY 11101",(718)729-7708,
Urban Backyard,"180 Mulberry St New York, NY 10012",(646)692-9957,http://www.urbanbackyardnyc.com
Lion’s Milk,"104 Roebling St Brooklyn, NY 11211",(718)599-0099,http://www.lionsmilkbrooklyn.com
Motea Garden,"36-09 Main St CU8 Flushing, NY 11354",(917)285-2000,http://www.moteagarden.com
TBaar,"36 W 36th St New York, NY 10018",(646)982-9639,http://www.tbaar.com
Teas Me Dear,"39-01 Main St Flushing, NY 11354",(347)882-0288,
Alimama,"89A Bayard St New York, NY 10013",(212)235-7288,https://www.alimamanyc.com
Round K,"99 Allen St New York, NY 10002",(917)475-1423,http://www.roundk.com
Ladurée Madison Ave,"864 Madison Ave New York, NY 10021",(646)558-3157,http://www.laduree.com
Matcha n’ More,"177 Hester St New York, NY 10013",(646)838-7594,http://www.matchanmore.com
Sun’s Organic Garden,"79 Bayard St New York, NY 10013",(917)362-6662,
Cloud 9 Crepes,"434 Marcus Garvey Blvd Brooklyn, NY 11216",(718)443-4796,https://www.cloud9crepes.com
Tamra Teahouse,"1524 Bergen St Brooklyn, NY 11213",(347)406-7710,https://www.tamrateahouse.com
The Tea Bar,"1636 Palisade Ave Ste 4 Fort Lee, NJ 07024",(201)944-0858,http://www.teabarnj.com
MatchaBar Soho,"70 Prince St New York, NY 10012",(212)253-7854,http://www.matchabarnyc.com
